"fc.raw.file"	"EVD:~Contaminants~\"[1]\""	"EVD:~Pep~Intensity~(\">23.0\")~\"[2]\""	"EVD:~Charge~\"[3]\""	"MS^2*Scans:~TopN~high~\"[4]\""	"MS^2*Scans:~TopN~over~RT~\"[5]\""	"EVD:~ID~rate~over~RT~\"[6]\""	"EVD:~RT~Peak~Width~\"[7]\""	"MS^2*Scans:~Ion~Inj~Time~\"[8]\""	"MS^2*Scans:~Intensity~\"[9]\""	"EVD:~MS^2~Oversampling~\"[10]\""	"EVD:~MS~Cal-Pre~(20.0)~\"[11]\""	"EVD:~MS~Cal-Post~\"[12]\""	"MS^2*Scans:~TopN~ID~over~N~\"[13]\""	"EVD:~Pep~Missing~Values~\"[14]\""	"EVD:~Pep~Count~(\">15000\")~\"[15]\""	"EVD:~Prot~Count~(\">3500\")~\"[16]\""	"Average~Overall~Quality"
"file 011"	0.453601130106897	0.389885902404785	0.97567893632445	0.279103155451019	0.636428274028473	0.560322454298498	0.891691906291052	0.000368324125230203	1	0.897737556561086	0.9787345	0.99733796462273	0.697581859912034	0.0746692551049755	0.138466666666667	0.139714285714286	0.569457635725761
"file 012"	0.346439050467024	0.126397609710693	0.99366205882668	0.266280107047279	0.592708325859109	0.590953696598564	0.910767894984695	0.00027972027972028	1	0.85036496350365	0.9703445	0.99981390484845	0.564725205400618	0.0356988783433995	0.0662	0.0717142857142857	0.524146887599011
"file 013"	0.4859413175422	0.134396553039551	0.971203187125575	0.28351333686078	0.625064254270916	0.585943096540206	0.910015634738132	0.000277777777777778	1	0.884743504330446	0.970002	0.998568117301044	0.639541480035365	0.0500431406384815	0.0928	0.0971428571428571	0.545574766083958
"file 014"	0.218336776653389	0.369614362716675	0.953205163536253	0.262032402333916	0.63160786947355	0.548779621961811	0.905825669947554	0.000470632530120482	1	0.870824053452116	0.972526	0.999836776777081	0.726525835920772	0.0585634167385677	0.1086	0.124	0.546921786377613
"file 015"	0.449302881358509	0.214517116546631	0.946552953947694	0.289917564996829	0.675091828568459	0.564177260246287	0.888335517088654	0.000370233246945576	1	0.858695652173913	0.9728365	0.997276842609014	0.641490051795438	0.0590307736554501	0.109466666666667	0.114571428571429	0.548852079466995
"file 016"	0.342953549151721	0.235366821289063	0.991232125926083	0.280446310884958	0.608076971104307	0.59800081743135	0.867936572162072	0.000276090557702927	1	0.922145328719723	0.9779165	0.999986519660008	0.667842056798455	0.0584555651423641	0.1084	0.126857142857143	0.549118273230309
"file 017"	0.423557456859103	0.223922729492188	0.984225778392913	0.281277974996141	0.694750269599431	0.598295669373849	0.844813697215695	0.000369788296200425	1	0.897350993377483	0.9793615	0.99941097180312	0.710004035622293	0.0609002013229796	0.112933333333333	0.125142857142857	0.558519828551724
"file 018"	0.361027020648231	0.114729404449463	0.968352502323584	0.253280500760904	0.547888133914807	0.611598095865374	0.82854585861812	0.000281584381452975	1	0.914191419141914	0.971498	0.999999627676367	0.69110562519793	0.0414150129421915	0.0768	0.106571428571429	0.530455263405735
"file 019"	0.500438973183384	0.440680980682373	0.992830530540082	0.283110946380035	0.62208365960014	0.572469985108819	0.862258558123068	0.000459981600735971	1	0.919375263824399	0.995651075	0.997511267322441	0.731443165078911	0.0795585274662065	0.147533333333333	0.152	0.581087890452745
"file 020"	0.414733023985342	0.292450189590454	0.995534773369872	0.263629398243649	0.602974504617601	0.568432312707522	0.919006621997366	0.000465896384644055	1	0.859364873622813	0.97602875	0.999285680998707	0.652439952025918	0.0508700028760426	0.0943333333333333	0.0882857142857143	0.548614689252436
"file 021"	0.465193461011283	0.240099430084229	0.973128476609427	0.237675393796032	0.529564447427876	0.573726793732252	0.870107901038429	0.00037037037037037	1	0.783012134189864	0.9716165	0.997915979539161	0.667739268568999	0.044722461892436	0.0829333333333333	0.0857142857142857	0.532720014831749
"file 022"	0.338585798050085	0.234532356262207	0.989376318515519	0.290135518436811	0.614273935488129	0.589448746055992	0.80115466158553	0.000459727841118058	1	0.742096505823627	0.983441	0.999550393870652	0.625920851387391	0.0395815358067299	0.0734	0.0871428571428571	0.525568762891666
"file 023"	0.0982825183030032	0.20221471786499	0.939093999256211	0.215036686465712	0.31055419020972	0.577212499953494	0.95573328633331	0.000711997152011392	0.406350213600154	0.844349680170576	0.978803	0.999999693913543	0.576346608645574	0.0157463330457291	0.0292	0.0554285714285714	0.450316499771412
"file 024"	0.0782525879309934	0.216919183731079	0.958361771891294	0.217920835145716	0.327131250325278	0.56168315280225	0.957917696976509	0.000742023250061835	0.430425018398787	0.827526132404181	0.99381275	0.998411007381759	0.622369963650544	0.0186583261432269	0.0346	0.056	0.45629573125198
"file 025"	0.200851262553124	0.168740749359131	0.977974273211112	0.243523972385838	0.28382113890743	0.523597962953547	0.935776253316576	0.00053464499572284	0.3686038508088	0.872294372294372	0.9763	0.999355117976716	0.644618958399259	0.0310972102387115	0.0576666666666667	0.0722857142857143	0.459815134272045
"file 026"	0.261796896248186	0.195395946502686	0.951621948213895	0.266223477542023	0.279750720446646	0.562334202109114	0.953603813131879	0.000540131792157286	0.446216027874564	0.877692842251564	0.982945	0.99969667544132	0.671063752571754	0.0488927236123095	0.0906666666666667	0.102571428571429	0.480688265811012
"file 027"	0.339749224522569	0.165760517120361	0.931869348840155	0.289616124207677	0.243718628342708	0.560071569034215	0.922893839552525	0.000416189782540839	0.498486659575168	0.907363420427554	0.98996025	0.999686866491619	0.659236205928868	0.0576646534368709	0.106933333333333	0.118571428571429	0.486999891197975
"file 028"	0.49632687907356	0.314784049987793	0.973336054287179	0.32451108651169	0.232545222689721	0.521013087614496	0.939086844415185	0.00088944231966557	0.621856632940608	0.882993197278912	0.9872995	0.99996841149751	0.726506648859273	0.0993672706356054	0.184266666666667	0.171714285714286	0.529779080030759
"file 029"	0.234250542963302	0.186210870742798	0.928718628546874	0.254296455424275	0.282248429115708	0.543352430580035	0.963069339891839	0.000546806649168854	0.398463388711772	0.87363100252738	0.9983288	0.999997898453987	0.684029724953793	0.0398691400632729	0.0739333333333333	0.0825714285714286	0.47146988878306
"file 030"	0.168056937812182	0.183326005935669	0.939672332913266	0.228306818548517	0.307739131288	0.548450712948304	0.932100612473999	0.000574316563289685	0.431766353605002	0.866939611054248	0.989184	0.998351086308108	0.683610667956992	0.0334339948231234	0.062	0.0797142857142857	0.465826679246562
"file 031"	0.354378967005441	0.227487087249756	0.978080376258392	0.261535915259848	0.252855672603956	0.532431777543629	0.960287169608801	0.00063217785270256	0.482775737119031	0.872846108140226	0.985017	0.999076304764203	0.705974333324404	0.0572332470520564	0.106133333333333	0.108	0.492796575444736
"file 032"	0.255528117922913	0.379180908203125	0.972445895934556	0.24504528153301	0.238875564396956	0.534927880840604	0.877959157127992	0.00143298059964727	0.421429594867604	0.804370447450572	0.980259	0.99606571259908	0.646955413481919	0.0312050618349152	0.0578666666666667	0.0614285714285714	0.469061015930508
"file 033"	0.48702605030777	0.428354740142822	0.913920377030759	0.360929813844324	0.261646286047625	0.515770864398527	0.915964594181926	0.00295420974889217	0.623695071619325	0.858000706464147	0.9895945	0.998875766760447	0.721607913161658	0.090595340811044	0.168	0.155714285714286	0.530790657514597
"file 034"	0.491982988810321	0.554829835891723	0.945662293651426	0.346152653289086	0.249969338478352	0.510175155871663	0.967607663893547	0.00567739928449214	0.706187733173585	0.852531430513082	0.99220025	0.999619458431595	0.731906226577003	0.0955205637043428	0.177133333333333	0.175142857142857	0.550143698877901
"file 035"	0.50684634592352	0.450372695922852	0.961727806629356	0.283817019183473	0.23814784170009	0.538293671143171	0.960021327366628	0.0043859649122807	0.614649076069607	0.868818105616094	0.9853115	0.999991859016043	0.70120006666559	0.0789473684210526	0.1464	0.159142857142857	0.531129594107038
"file 036"	0.0337189550950876	0.295722484588623	0.983710203947043	0.191547315701608	0.409780224638302	0.540711996584593	0.825161290322581	0.000719683339330694	0.394357255493587	0.7225	0.9810465	0.995167583689436	0.599461362781679	0.0123669830313489	0.0229333333333333	0.0414285714285714	0.440645858998445
"file 037"	0.072761504699637	0.287199020385742	0.96536301059985	0.237521620953793	0.282606886176195	0.527314595929272	0.949085406746697	0.00202256759633809	0.469547669905705	0.822245322245322	0.9788245	0.999763874920332	0.653005974555167	0.0312050618349152	0.0578666666666667	0.0708571428571429	0.462949426629548
"file 038"	0.062728876487273	0.297027826309204	0.961913865274274	0.242956480038365	0.28453100808084	0.549032058585124	0.930803406658301	0.00263638207260191	0.49393224723007	0.808924485125858	0.97663275	0.996714160951306	0.69095501050715	0.0277897612884671	0.0515333333333333	0.0737142857142857	0.465739121103528
"file 039"	0.701553985996366	1	0.901065714699731	0.541496187465129	0.415262530387988	0.59605199578812	0.574260752688172	0.00704308017372931	0.840449039500637	0.950604838709677	0.8742825	0.999920444894393	0.744270580309708	0.376617773943054	0.6984	0.528	0.671829964034794
"file 040"	0.698313296137506	1	0.938174677908671	0.25706340049111	0.437946242478926	0.586679486705442	0.534939647902172	0.005779518532671	0.575243974783383	0.937381404174573	0.773285	0.999194442314701	0.723119422808273	0.146965775093471	0.272533333333333	0.218857142857143	0.569092297845086
"file 041"	0.43891646967951	0.566422939300536	0.975868589040211	0.130079159533529	0.575131759106696	0.606119413042442	0.481911190142256	0.0023224153119244	0.456657299166902	0.945652173913043	0.7754475	0.997816770980584	0.803553606988478	0.0844118492953696	0.156533333333333	0.180571428571429	0.51108849358789
"file 042"	0.697884601333733	0.873231887817383	0.932928752125808	0.206912001911703	0.491534403144597	0.61148869423654	0.521912577811852	0.00379790539762919	0.518080989557214	0.936192198398347	0.747015	0.999722218618367	0.743813287433269	0.121944204774231	0.226133333333333	0.188	0.551287003493375
"file 043"	0.422696970488907	0.472104549407959	0.955060998532093	0.0943777698702812	0.537150171711749	0.61692483372781	0.480613596233078	0.00242050830674442	0.436335706396131	0.951147733961153	0.769455	0.997265405563739	0.822022443289442	0.0559749784296808	0.1038	0.133142857142857	0.490655845191352
"file 044"	0.438310600959563	0.73462724685669	0.977725095126883	0.112958278730991	0.668468710818474	0.610127369919057	0.390386551749621	0.00276065151375725	0.388693847997907	0.965063001145475	0.87109	0.996764205051723	0.76773439497908	0.0547167098073051	0.101466666666667	0.129428571428571	0.513145118921985
"file 045"	0.505502163923061	0.649011135101318	0.963019530983643	0.172306344028434	0.635607039509803	0.622046920419441	0.40267119244392	0.0012987012987013	0.457743219085943	0.967532467532468	0.85778	0.997111444704851	0.823185442599592	0.109577221742882	0.2032	0.248	0.538474551460879
"file 046"	0.621407690549197	0.780010223388672	0.928914402969188	0.170176358568156	0.494841304300446	0.592959709258582	0.49840020132298	0.00247739378174161	0.522759532411147	0.941903940178315	0.75122	0.999562890196824	0.76321531725915	0.113028472821398	0.2096	0.193428571428571	0.536494125527148
"file 047"	0.295215543551824	0.743871927261352	0.966812549362821	0.165983200882378	0.526029721022724	0.594842235909856	0.489845415778252	0.00310478654592497	0.497681579017946	0.938592750533049	0.7637375	0.998358057577871	0.730685447239366	0.0753163646821973	0.139666666666667	0.158285714285714	0.505501841269871
"file 048"	0.448237410138179	0.698006153106689	0.954183122297892	0.142468239564428	0.566452594431622	0.601345870419813	0.536327809215845	0.00191952750092285	0.476734419620359	0.931285367825384	0.776085	0.999976758936412	0.743660902570031	0.0809605982168536	0.150133333333333	0.166285714285714	0.517128926341467
"file 049"	0.331807334530898	0.565719604492188	0.971912451138054	0.0931038730225764	0.675290304998911	0.606581508487884	0.43188202247191	0.00217338807051437	0.378072234030117	0.956460674157303	0.869755	0.998144401196536	0.764316685321989	0.046448087431694	0.0861333333333333	0.122857142857143	0.493791127846316
"file 050"	0.685468256475368	1	0.920479498248227	0.38895297103121	0.385167905016279	0.572108064365521	0.530139713653062	0.00276140010448541	0.703609065704446	0.957511241626136	0.866845	0.999937044026562	0.761270225133384	0.354256542996836	0.656933333333333	0.512285714285714	0.643607873500035
"file 051"	0.664601194581645	0.67594051361084	0.933452159016867	0.151688853095836	0.531042651745299	0.623984428694485	0.498854833813189	0.0023958574851225	0.476792365599839	0.946873102610807	0.79037	0.9996944730555	0.797492637330438	0.108390854184642	0.201	0.207142857142857	0.53810729887296
"file 052"	0.816204791504878	0.579535961151123	0.987688826274834	0.0427025559477175	0.644903198287287	0.712175753190605	0.335034192782162	0.00081366965012205	0.486570408084642	0.966745843230404	0.89555	0.996830506440255	0.856066072467411	0.0136252516537245	0.0252666666666667	0.0591428571428571	0.526178534654668
"file 053"	0.257035272499271	0.673389434814453	0.959948168183632	0.104668253079507	0.78723526810498	0.614449404888905	0.405886708523761	0.00244716351501669	0.38993749323395	0.969738651994498	0.8533425	0.9875550111162	0.796355553064868	0.0468794938165085	0.0869333333333333	0.121428571428571	0.503576892599841
