Protein.ID	Gene.name	Group	Experiments where FN	Experiments where TP
P46013;P46013-2	MKI67	no group	NCBP2-LAP, multi-well_NCBP2_12	NCBP1-LAP, multi-well_NCBP1_12
P46087-2;P46087;P46087-4;P46087-3	NOP2	no group	NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_20; NCBP2-LAP, multi-well_NCBP2_20
P46782	RPS5	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_18	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_7
P49411	TUFM	no group	NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7
P50454	SERPINH1	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP2-LAP, multi-well_NCBP2_20
P53999	SUB1	no group	NCBP1-LAP, multi-well_NCBP1_12	NCBP1-LAP, multi-well_NCBP1_10
P55265;P55265-4;P55265-5;P55265-3;P55265-2	ADAR	no group	NCBP1-LAP, multi-well_NCBP1_7	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20
P60842;P60842-2	EIF4A1	no group	NCBP1-LAP, multi-well_NCBP1_20	NCBP2-LAP, multi-well_NCBP2_20
P60866;P60866-2	RPS20	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP3-LAP, test tubes_NCBP3_18; NCBP2-LAP, multi-well_NCBP2_20
P61247	RPS3A	no group	NCBP1-LAP, multi-well_NCBP1_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_20
P61353	RPL27	no group	NCBP1-LAP, multi-well_NCBP1_7	NCBP2-LAP, multi-well_NCBP2_12
P62241	RPS8	no group	NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP2-LAP, multi-well_NCBP2_12	NCBP2-LAP, multi-well_NCBP2_20
P62277	RPS13	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP1-LAP, multi-well_NCBP1_7	NCBP1-LAP, multi-well_NCBP1_18
P62805	HIST1H4A	no group	NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_14; NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_10; NCBP2-LAP, multi-well_NCBP2_20
P62826	RAN	no group	NCBP1-LAP, multi-well_NCBP1_20	NCBP1-LAP, multi-well_NCBP1_14
