Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
3_14a	NCBP3_14a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		5391	4523	0	5715	3331	0	2384	249	246	0	3	4.36	7.39	NaN	0.13	175	359747	3448	0.96	502	14.56	22811	2614	2390	11.46	28.06	495	18.94	+	0.7182	0.91303	0.38497	0.4981	
3_14b	NCBP3_14b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4805	6847	0	9066	4628	0	4438	442	427	0	15	4.88	9.23	NaN	0.34	323	382426	5230	1.37	691	13.21	28323	3650	3307	12.89	30.76	687	18.82	+	0.9596	1.176	0.53981	0.67105	
3_14c	NCBP3_14c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4389	7954	0	9768	6140	0	3628	744	704	0	40	7.62	11.47	NaN	1.1	370	334445	6000	1.79	905	15.08	25790	4602	4388	17.84	35.48	940	20.43	+	0.7026	0.92794	0.40283	0.54254	
3_18a	NCBP3_18a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		5234	5278	0	6579	3977	0	2602	239	231	0	8	3.63	5.81	NaN	0.31	187	434379	4283	0.99	513	11.98	33457	3286	3032	9.82	30.19	520	15.82	+	0.75237	0.9531	0.40853	0.51963	
3_18b	NCBP3_18b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4239	8399	0	10202	6596	0	3606	1275	1233	0	42	12.5	18.69	NaN	1.16	984	353023	6770	1.92	759	11.21	30203	5335	5059	17.66	32.47	844	15.82	+	0.83656	1.0918	0.48582	0.65436	
3_18c	NCBP3_18c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4463	7689	0	9381	5997	0	3384	1014	975	0	39	10.81	16.26	NaN	1.15	809	376276	6229	1.66	714	11.46	30626	4869	4586	15.9	30.67	790	16.23	+	0.74889	0.9945	0.42662	0.57936	
3_20a	NCBP3_20a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4826	6112	0	7266	4958	0	2308	409	409	0	0	5.63	8.25	NaN	0	273	273088	4824	1.77	643	13.33	18764	3990	3811	21.26	35.54	687	17.22	+	0.64302	0.8438	0.35247	0.46317	
3_20b	NCBP3_20b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4433	7683	0	9302	6064	0	3238	964	926	0	38	10.36	15.27	NaN	1.17	630	365381	6027	1.65	800	13.27	28657	4789	4512	16.71	32.72	821	17.14	+	0.53029	0.73748	0.29735	0.42087	
3_20d	NCBP3_20d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4532	7920	0	9665	6175	0	3490	1108	1076	0	32	11.46	17.43	NaN	0.92	686	432605	6115	1.41	875	14.31	32443	4759	4501	14.67	33.68	963	20.24	+	0.54437	0.75182	0.32031	0.45603	
3_7b	NCBP3_7b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4689	7172	0	9178	5166	0	4012	465	452	0	13	5.07	8.75	NaN	0.32	340	381603	5499	1.44	728	13.24	28815	4041	3692	14.02	32.65	772	19.1	+	0.70525	0.93035	0.41529	0.55368	
3_7d	NCBP3_7d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4695	7204	0	9199	5209	0	3990	609	599	0	10	6.62	11.5	NaN	0.25	389	402235	5420	1.35	732	13.51	30111	4018	3731	13.34	34.02	761	18.94	+	0.618	0.8259	0.35514	0.48826	
